id,perspective_id,concept_id,relationship_type,priority_weight,created_at
1,1,1,USES_DEFINITION,3,2026-09-21 14:37:59
2,1,8,USES_DEFINITION,2,2026-09-21 14:37:59
3,2,2,USES_DEFINITION,3,2026-09-21 14:37:59
4,2,9,USES_DEFINITION,2,2026-09-21 14:37:59
5,3,7,USES_DEFINITION,3,2026-09-21 14:37:59
6,5,3,USES_DEFINITION,3,2026-09-21 14:37:59
7,5,8,USES_DEFINITION,2,2026-09-21 14:37:59
8,2,21,USES_DEFINITION,2,2026-09-21 14:37:59
37,8,106,USES_DEFINITION,3,2026-09-21 15:54:10
39,5,5,USES_DEFINITION,3,2026-09-21 15:54:10
40,3,108,USES_DEFINITION,3,2026-09-21 15:54:10
41,12,109,USES_DEFINITION,3,2026-09-21 15:54:10
42,8,110,USES_DEFINITION,3,2026-09-21 15:54:10
43,7,111,USES_DEFINITION,3,2026-09-21 15:54:10
44,11,112,USES_DEFINITION,3,2026-09-21 15:54:10
45,7,113,USES_DEFINITION,3,2026-09-21 15:54:10
48,2,114,USES_DEFINITION,3,2026-09-21 15:54:10
49,1,115,USES_DEFINITION,3,2026-09-21 15:54:10
50,1,116,USES_DEFINITION,3,2026-09-21 15:54:10
51,1,117,USES_DEFINITION,3,2026-09-21 15:54:10
52,11,118,USES_DEFINITION,3,2026-09-21 15:54:10
53,7,119,USES_DEFINITION,3,2026-09-21 15:54:10
54,8,129,USES_DEFINITION,3,2026-09-21 15:54:10
55,8,130,USES_DEFINITION,3,2026-09-21 15:54:10
56,8,131,USES_DEFINITION,3,2026-09-21 15:54:10
57,8,137,USES_DEFINITION,3,2026-09-21 15:54:10
58,8,138,USES_DEFINITION,3,2026-09-21 15:54:10
59,8,132,USES_DEFINITION,3,2026-09-21 15:54:10
60,8,133,USES_DEFINITION,3,2026-09-21 15:54:10
61,8,134,USES_DEFINITION,3,2026-09-21 15:54:10
62,8,135,USES_DEFINITION,3,2026-09-21 15:54:10
63,8,136,USES_DEFINITION,3,2026-09-21 15:54:10
64,4,124,USES_DEFINITION,3,2026-09-21 15:54:10
65,4,125,USES_DEFINITION,3,2026-09-21 15:54:10
66,4,126,USES_DEFINITION,3,2026-09-21 15:54:10
69,4,127,USES_DEFINITION,3,2026-09-21 15:54:10
70,4,128,USES_DEFINITION,3,2026-09-21 15:54:10
71,5,120,USES_DEFINITION,3,2026-09-21 15:54:10
72,5,20,USES_DEFINITION,3,2026-09-21 15:54:10
73,5,122,USES_DEFINITION,3,2026-09-21 15:54:10
74,5,123,USES_DEFINITION,3,2026-09-21 15:54:10
75,7,18,USES_DEFINITION,3,2026-09-21 15:54:10
77,14,19,USES_DEFINITION,3,2026-09-21 15:54:10
80,7,7,USES_DEFINITION,3,2026-09-21 15:54:10
84,14,9,USES_DEFINITION,3,2026-09-21 15:54:10
